COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Guadeloupe,GLP,AMRO,REPORTING,2023-01-27,397202,151494,99.27,37.862,145565,36.38,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-01-08,7,88495,22.117
Guam,GUM,WPRO,REPORTING,2022-08-23,368088,155225,218.094,91.972,141014,83.551,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-04,3,72131,42.738
Guatemala,GTM,AMRO,REPORTING,2023-01-27,20102040,8885920,112.204,49.599,7068685,39.456,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-25,5,3628470,20.253
Guernsey,GGY,EURO,OWID,2022-12-19,178525,54223,276.92,84.108,52710,81.761,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,69339,107.556
Guinea,GIN,AFRO,REPORTING,2022-12-04,8749048,6087292,66.62,46.352,3293736,25.08,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,6,223977,1.705
Guinea-Bissau,GNB,AFRO,REPORTING,2022-12-04,673091,774740,34.202,39.367,426325,21.663,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-04-02,2,906,0.046
Guyana,GUY,AMRO,REPORTING,2023-01-27,953690,493404,121.249,62.73,380118,48.327,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-11,7,75969,9.658
Haiti,HTI,AMRO,REPORTING,2023-01-27,515718,406534,4.523,3.565,238352,2.09,"Janssen - Ad26.COV 2-S,Moderna - Spikevax",,2,,
Honduras,HND,AMRO,REPORTING,2023-01-27,16987951,6479241,171.516,65.416,5784379,58.401,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,6,4724706,47.702
Hungary,HUN,EURO,REPORTING,2023-01-22,16563009,6357626,169.5,65.076,6151000,62.961,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Sinovac - CoronaVac",2020-12-23,8,3867737,39.59
Iceland,ISL,EURO,REPORTING,2023-01-08,865331,307218,237.6,84.376,297852,81.797,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-30,5,254133,69.791
India,IND,SEARO,REPORTING,2023-01-31,2205113973,1025742707,159.79,74.329,951862244,68.975,"Bharat - Covaxin,Biological E - Corbevax,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield,SII - Covovax,Zydus - ZyCov-D",2021-01-16,8,227509022,16.486
Indonesia,IDN,SEARO,REPORTING,2023-01-17,444303130,203657535,162.437,74.457,172693321,63.137,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-13,7,67952274,24.843
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2023-01-29,155011109,65150916,184.553,77.567,58536022,69.692,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Shifa - COVIran Barakat,Sinovac - CoronaVac",2021-02-09,12,31324171,37.294
Iraq,IRQ,EMRO,REPORTING,2023-01-02,19557364,11332925,48.623,28.176,7944775,19.752,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-02,10,275280,0.684
Ireland,IRL,EURO,REPORTING,2023-01-22,12289545,4106359,247.6,85.351,4058806,81.758,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-30,5,3047842,61.393
Isle of Man,IMN,EURO,OWID,2022-06-23,189994,69560,223.438,81.804,67106,78.919,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,53328,62.715
Israel,ISR,EURO,REPORTING,2022-06-05,15026951,7055466,173.6,81.514,6385731,73.776,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-16,3,1585754,18.321
Italy,ITA,EURO,REPORTING,2023-01-22,150074539,50576569,251.6,84.805,49478634,82.96,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",2020-12-23,8,44888950,75.265
Jamaica,JAM,AMRO,REPORTING,2023-01-27,1511046,846453,51.029,28.585,746487,25.209,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-10,5,45736,1.545
Japan,JPN,WPRO,REPORTING,2023-01-06,371971415,104548672,294.103,82.663,103144685,81.552,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-17,4,85278522,67.426
Jersey,JEY,EURO,OWID,2023-01-22,266854,84365,247.555,78.264,81876,75.955,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,73654,68.327
Jordan,JOR,EMRO,REPORTING,2022-08-21,10057975,4821579,98.577,47.256,4558313,44.676,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-13,10,682211,6.686
Kazakhstan,KAZ,EURO,REPORTING,2023-01-08,33565356,12372405,178.8,65.892,13043697,69.467,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",2021-04-07,5,6714313,35.759
Kenya,KEN,AFRO,REPORTING,2023-01-08,23132128,14242625,43.019,26.487,10864421,20.205,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-05,5,1782416,3.315
Kiribati,KIR,WPRO,REPORTING,2023-01-17,215382,99607,180.313,83.389,79836,66.837,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",2021-05-26,2,35939,30.087
Kosovo,XKX,EURO,REPORTING,2023-01-15,1836901,904558,102.3,50.375,824752,45.93,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-03-31,2,105624,5.882
Kuwait,KWT,EMRO,REPORTING,2023-01-29,8258076,3456075,193.372,80.928,3344576,78.317,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-28,10,1457425,34.127
Kyrgyzstan,KGZ,EURO,REPORTING,2023-01-15,3065108,1491822,47,22.866,1316413,20.177,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",2021-03-31,6,256873,3.937
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2023-01-19,15053397,6290492,206.904,86.461,5648517,77.637,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-25,8,2359576,32.432
Latvia,LVA,EURO,REPORTING,2023-01-22,2974692,1344028,155.9,70.454,1304383,68.376,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-30,5,549685,28.814
Lebanon,LBN,EMRO,REPORTING,2022-12-22,5814699,2740227,85.192,40.147,2414223,35.371,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-14,10,660249,9.673
Lesotho,LSO,AFRO,REPORTING,2022-12-11,1259488,998183,58.793,46.595,925976,43.224,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-10,3,137883,6.436
Liberia,LBR,AFRO,REPORTING,2022-12-11,4460668,3903802,88.196,77.186,3730967,73.768,SII - Covishield,2021-04-01,1,1987,0.039
Libya,LBY,EMRO,REPORTING,2023-01-16,3739158,2316327,54.417,33.71,1236102,17.989,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-04-11,10,186729,2.718
Liechtenstein,LIE,OTHER,REPORTING,2022-04-10,71104,26681,183.5,68.86,26346,67.995,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-06,3,18310,47.255
Lithuania,LTU,EURO,REPORTING,2023-01-22,4529015,1955935,162.1,70.156,1906473,68.232,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,5,901460,32.263
Luxembourg,LUX,EURO,REPORTING,2023-01-22,1336196,469225,213.4,74.943,462639,73.891,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",2020-12-30,8,368254,58.816
Madagascar,MDG,AFRO,REPORTING,2023-01-15,2514403,2183010,9.08,7.883,2107097,7.609,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-05-10,3,116188,0.42
Malawi,MWI,AFRO,REPORTING,2023-01-08,6876517,4932472,35.946,25.784,3927293,20.53,"Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-11,2,1832738,9.58
Malaysia,MYS,WPRO,REPORTING,2023-01-22,72498692,28125196,223.996,86.897,27536594,85.079,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-24,8,16296842,50.352
Maldives,MDV,SEARO,REPORTING,2022-12-26,951419,399151,176.011,73.842,385081,71.24,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-01,8,167187,30.929
Mali,MLI,AFRO,REPORTING,2023-01-15,4713015,3494626,23.273,17.257,2847193,14.06,SII - Covishield,2021-03-31,1,,
Malta,MLT,EURO,REPORTING,2023-01-22,1279793,450497,248.7,87.549,444871,86.456,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,352510,68.507
Marshall Islands,MHL,WPRO,REPORTING,2022-12-28,85198,45627,143.93,77.08,39571,66.85,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-29,3,18559,31.353
Martinique,MTQ,AMRO,REPORTING,2023-01-27,400007,150504,106.593,40.106,145247,38.705,Pfizer BioNTech - Comirnaty,,1,92631,24.684
Mauritania,MRT,AFRO,REPORTING,2022-12-25,4066473,2098993,87.457,45.143,1537298,33.063,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-26,2,382922,8.235
Mauritius,MUS,AFRO,REPORTING,2023-01-01,2613037,1123773,205.465,88.363,1088142,85.561,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-01-26,3,639517,50.286
Mexico,MEX,AMRO,REPORTING,2023-01-27,225063079,99071001,174.558,76.839,81849962,63.483,"AstraZeneca - Vaxzevria,CanSino - Convidecia,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-24,8,57026630,44.23
Micronesia (Federated States of),FSM,WPRO,REPORTING,2022-08-20,170346,70204,148.097,61.035,66174,57.531,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-13,4,30537,26.549
Monaco,MCO,EURO,REPORTING,2022-12-04,71027,25319,181,64.517,24933,63.533,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax - Covavax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2021-06-30,7,17806,45.373
Mongolia,MNG,WPRO,REPORTING,2023-01-20,5666875,2283851,172.861,69.666,2185041,66.652,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,6,1058176,32.278
Montenegro,MNE,EURO,REPORTING,2022-12-04,523735,272152,83.4,43.763,251583,40.456,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2021-02-24,5,0,0
Montserrat,MSR,AMRO,REPORTING,2023-01-27,4619,2104,92.398,42.088,1952,39.048,AstraZeneca - Vaxzevria,2021-02-08,1,563,11.262
Morocco,MAR,EMRO,REPORTING,2023-01-29,55373731,25017528,150.021,67.779,23518734,63.718,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-28,10,6875379,18.627
Mozambique,MOZ,AFRO,REPORTING,2023-01-08,29140427,18640008,93.233,59.638,18454569,59.044,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-08,3,1007597,3.224
Myanmar,MMR,SEARO,REPORTING,2022-06-18,64549994,34777314,118.637,63.917,27545329,50.626,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-01-27,2,2227351,4.094
Namibia,NAM,AFRO,REPORTING,2023-01-15,976964,817482,38.449,32.173,529074,20.822,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-19,4,105478,4.151
Nauru,NRU,WPRO,REPORTING,2022-07-11,24143,10493,222.845,96.853,8585,79.241,"AstraZeneca - Vaxzevria,SII - Covishield",2021-04-09,2,5065,46.751
Nepal,NPL,SEARO,REPORTING,2023-01-17,60789000,27678479,208.633,94.995,24159118,82.916,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-27,8,8951403,30.722
Netherlands,NLD,EURO,REPORTING,2022-09-11,36105753,12776868,207.4,73.398,11957152,68.689,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2021-01-06,6,9417108,54.098
New Caledonia,NCL,WPRO,REPORTING,2023-01-03,478127,192206,167.471,67.323,184645,64.675,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-01-20,2,101276,35.473
New Zealand,NZL,WPRO,REPORTING,2023-01-20,11971474,4248253,248.256,88.097,4090530,84.826,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-19,4,2717565,56.355
Nicaragua,NIC,AMRO,REPORTING,2023-01-27,12190274,6205237,184.017,93.67,5985037,90.346,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-03,9,,
Niger,NER,AFRO,REPORTING,2022-12-11,7187711,6072321,29.693,25.085,5308074,21.928,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-29,2,,
Nigeria,NGA,AFRO,REPORTING,2023-01-08,108052995,76507342,52.417,37.114,63966056,31.03,SII - Covishield,2021-03-05,1,9755313,4.732
Niue,NIU,WPRO,REPORTING,2022-10-18,4920,1636,304.079,101.112,1634,100.989,Pfizer BioNTech - Comirnaty,2021-06-08,1,1224,75.649
North Macedonia,MKD,EURO,REPORTING,2023-01-08,1862732,854479,89.4,41.155,838085,40.365,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-02-17,7,161593,7.783
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2022-11-04,116159,46466,201.816,80.73,45012,78.204,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-19,3,24235,42.106
Norway,NOR,EURO,REPORTING,2023-01-22,12302543,4346117,229.2,80.97,4060967,75.657,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,3015774,56.185
occupied Palestinian territory,PSE,EMRO,REPORTING,2022-10-18,3748571,2012767,73.481,39.455,1776973,34.833,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-02,10,336967,6.605
